Date,Product_ID,Sales,Lead_Time,DayOfWeek,Month,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7
2023-04-28,Product_1,84,5,4,4,81.0,81.0,81.71428571428571
2023-04-29,Product_1,81,2,5,4,84.0,84.0,81.28571428571429
2023-04-30,Product_1,76,3,6,4,81.0,86.0,79.85714285714286
2023-05-01,Product_1,80,3,0,5,76.0,75.0,80.57142857142857
2023-05-02,Product_1,73,4,1,5,80.0,81.0,79.42857142857143
2023-05-03,Product_1,73,2,2,5,73.0,81.0,78.28571428571429
2023-05-04,Product_1,82,5,3,5,73.0,81.0,78.42857142857143
2023-05-05,Product_1,75,5,4,5,82.0,84.0,77.14285714285714
2023-05-06,Product_1,73,5,5,5,75.0,81.0,76.0
2023-05-07,Product_1,83,2,6,5,73.0,76.0,77.0
2023-05-08,Product_1,81,5,0,5,83.0,80.0,77.14285714285714
2023-05-09,Product_1,74,4,1,5,81.0,73.0,77.28571428571429
2023-05-10,Product_1,79,3,2,5,74.0,73.0,78.14285714285714
2023-05-11,Product_1,74,3,3,5,79.0,82.0,77.0
2023-05-12,Product_1,74,3,4,5,74.0,75.0,76.85714285714286
2023-05-13,Product_1,82,4,5,5,74.0,73.0,78.14285714285714
2023-05-14,Product_1,77,4,6,5,82.0,83.0,77.28571428571429
2023-05-15,Product_1,78,5,0,5,77.0,81.0,76.85714285714286
2023-05-16,Product_1,85,4,1,5,78.0,74.0,78.42857142857143
2023-05-17,Product_1,71,2,2,5,85.0,79.0,77.28571428571429
2023-05-18,Product_1,77,5,3,5,71.0,74.0,77.71428571428571
2023-05-19,Product_1,72,5,4,5,77.0,74.0,77.42857142857143
2023-05-20,Product_1,80,3,5,5,72.0,82.0,77.14285714285714
2023-05-21,Product_1,76,2,6,5,80.0,77.0,77.0
2023-05-22,Product_1,81,4,0,5,76.0,78.0,77.42857142857143
2023-05-23,Product_1,73,4,1,5,81.0,85.0,75.71428571428571
2023-05-24,Product_1,69,2,2,5,73.0,71.0,75.42857142857143
2023-05-25,Product_1,72,2,3,5,69.0,77.0,74.71428571428571
2023-05-26,Product_1,74,3,4,5,72.0,72.0,75.0
2023-05-27,Product_1,77,5,5,5,74.0,80.0,74.57142857142857
2023-05-28,Product_1,78,3,6,5,77.0,76.0,74.85714285714286
2023-05-29,Product_1,77,3,0,5,78.0,81.0,74.28571428571429
2023-05-30,Product_1,72,4,1,5,77.0,73.0,74.14285714285714
2023-05-31,Product_1,76,3,2,5,72.0,69.0,75.14285714285714
2023-06-01,Product_1,70,3,3,6,76.0,72.0,74.85714285714286
2023-06-02,Product_1,80,4,4,6,70.0,74.0,75.71428571428571
2023-06-03,Product_1,81,3,5,6,80.0,77.0,76.28571428571429
2023-06-04,Product_1,68,4,6,6,81.0,78.0,74.85714285714286
2023-06-05,Product_1,70,3,0,6,68.0,77.0,73.85714285714286
2023-06-06,Product_1,76,2,1,6,70.0,72.0,74.42857142857143
2023-06-07,Product_1,76,5,2,6,76.0,76.0,74.42857142857143
2023-06-08,Product_1,77,2,3,6,76.0,70.0,75.42857142857143
2023-06-09,Product_1,94,5,4,6,77.0,80.0,77.42857142857143
2023-06-10,Product_1,81,5,5,6,94.0,81.0,77.42857142857143
2023-06-11,Product_1,79,3,6,6,81.0,68.0,79.0
2023-06-12,Product_1,72,5,0,6,79.0,70.0,79.28571428571429
2023-06-13,Product_1,77,3,1,6,72.0,76.0,79.42857142857143
2023-06-14,Product_1,74,3,2,6,77.0,76.0,79.14285714285714
2023-06-15,Product_1,69,4,3,6,74.0,77.0,78.0
2023-06-16,Product_1,85,2,4,6,69.0,94.0,76.71428571428571
2023-06-17,Product_1,64,3,5,6,85.0,81.0,74.28571428571429
2023-06-18,Product_1,71,5,6,6,64.0,79.0,73.14285714285714
2023-06-19,Product_1,73,3,0,6,71.0,72.0,73.28571428571429
2023-06-20,Product_1,70,5,1,6,73.0,77.0,72.28571428571429
2023-06-21,Product_1,78,2,2,6,70.0,74.0,72.85714285714286
2023-06-22,Product_1,80,5,3,6,78.0,69.0,74.42857142857143
2023-06-23,Product_1,73,5,4,6,80.0,85.0,72.71428571428571
2023-06-24,Product_1,68,2,5,6,73.0,64.0,73.28571428571429
2023-06-25,Product_1,73,5,6,6,68.0,71.0,73.57142857142857
2023-06-26,Product_1,83,4,0,6,73.0,73.0,75.0
2023-06-27,Product_1,80,5,1,6,83.0,70.0,76.42857142857143
2023-06-28,Product_1,61,2,2,6,80.0,78.0,74.0
2023-06-29,Product_1,72,5,3,6,61.0,80.0,72.85714285714286
2023-06-30,Product_1,69,4,4,6,72.0,73.0,72.28571428571429
2023-07-01,Product_1,62,3,5,7,69.0,68.0,71.42857142857143
2023-07-02,Product_1,73,2,6,7,62.0,73.0,71.42857142857143
2023-07-03,Product_1,75,2,0,7,73.0,83.0,70.28571428571429
2023-07-04,Product_1,68,3,1,7,75.0,80.0,68.57142857142857
2023-07-05,Product_1,68,5,2,7,68.0,61.0,69.57142857142857
2023-07-06,Product_1,79,5,3,7,68.0,72.0,70.57142857142857
2023-07-07,Product_1,72,2,4,7,79.0,69.0,71.0
2023-07-08,Product_1,71,3,5,7,72.0,62.0,72.28571428571429
2023-07-09,Product_1,77,2,6,7,71.0,73.0,72.85714285714286
2023-07-10,Product_1,61,5,0,7,77.0,75.0,70.85714285714286
2023-07-11,Product_1,66,4,1,7,61.0,68.0,70.57142857142857
2023-07-12,Product_1,68,3,2,7,66.0,68.0,70.57142857142857
2023-07-13,Product_1,78,3,3,7,68.0,79.0,70.42857142857143
2023-07-14,Product_1,52,2,4,7,78.0,72.0,67.57142857142857
2023-07-15,Product_1,63,3,5,7,52.0,71.0,66.42857142857143
2023-07-16,Product_1,58,3,6,7,63.0,77.0,63.714285714285715
2023-07-17,Product_1,61,3,0,7,58.0,61.0,63.714285714285715
2023-07-18,Product_1,65,4,1,7,61.0,66.0,63.57142857142857
2023-07-19,Product_1,68,3,2,7,65.0,68.0,63.57142857142857
2023-07-20,Product_1,68,2,3,7,68.0,78.0,62.142857142857146
2023-07-21,Product_1,79,5,4,7,68.0,52.0,66.0
2023-07-22,Product_1,62,5,5,7,79.0,63.0,65.85714285714286
2023-07-23,Product_1,69,5,6,7,62.0,58.0,67.42857142857143
2023-07-24,Product_1,66,5,0,7,69.0,61.0,68.14285714285714
2023-07-25,Product_1,67,5,1,7,66.0,65.0,68.42857142857143
2023-07-26,Product_1,67,3,2,7,67.0,68.0,68.28571428571429
2023-07-27,Product_1,70,4,3,7,67.0,68.0,68.57142857142857
2023-07-28,Product_1,63,4,4,7,70.0,79.0,66.28571428571429
2023-07-29,Product_1,76,4,5,7,63.0,62.0,68.28571428571429
2023-07-30,Product_1,65,2,6,7,76.0,69.0,67.71428571428571
2023-07-31,Product_1,69,5,0,7,65.0,66.0,68.14285714285714
2023-08-01,Product_1,63,5,1,8,69.0,67.0,67.57142857142857
2023-08-02,Product_1,66,2,2,8,63.0,67.0,67.42857142857143
2023-08-03,Product_1,62,5,3,8,66.0,70.0,66.28571428571429
2023-08-04,Product_1,69,3,4,8,62.0,63.0,67.14285714285714
2023-08-05,Product_1,70,2,5,8,69.0,76.0,66.28571428571429
2023-08-06,Product_1,72,5,6,8,70.0,65.0,67.28571428571429
2023-08-07,Product_1,69,2,0,8,72.0,69.0,67.28571428571429
2023-08-08,Product_1,68,5,1,8,69.0,63.0,68.0
2023-08-09,Product_1,67,5,2,8,68.0,66.0,68.14285714285714
2023-08-10,Product_1,61,4,3,8,67.0,62.0,68.0
2023-08-11,Product_1,64,3,4,8,61.0,69.0,67.28571428571429
2023-08-12,Product_1,65,2,5,8,64.0,70.0,66.57142857142857
2023-08-13,Product_1,60,3,6,8,65.0,72.0,64.85714285714286
2023-08-14,Product_1,70,5,0,8,60.0,69.0,65.0
2023-08-15,Product_1,62,2,1,8,70.0,68.0,64.14285714285714
2023-08-16,Product_1,69,4,2,8,62.0,67.0,64.42857142857143
2023-08-17,Product_1,61,2,3,8,69.0,61.0,64.42857142857143
2023-08-18,Product_1,65,2,4,8,61.0,64.0,64.57142857142857
2023-08-19,Product_1,70,3,5,8,65.0,65.0,65.28571428571429
2023-08-20,Product_1,63,2,6,8,70.0,60.0,65.71428571428571
2023-08-21,Product_1,62,5,0,8,63.0,70.0,64.57142857142857
2023-08-22,Product_1,67,2,1,8,62.0,62.0,65.28571428571429
2023-08-23,Product_1,64,5,2,8,67.0,69.0,64.57142857142857
2023-08-24,Product_1,62,5,3,8,64.0,61.0,64.71428571428571
2023-08-25,Product_1,72,2,4,8,62.0,65.0,65.71428571428571
2023-08-26,Product_1,68,2,5,8,72.0,70.0,65.42857142857143
2023-08-27,Product_1,57,4,6,8,68.0,63.0,64.57142857142857
2023-08-28,Product_1,56,2,0,8,57.0,62.0,63.714285714285715
2023-08-29,Product_1,66,2,1,8,56.0,67.0,63.57142857142857
2023-08-30,Product_1,65,4,2,8,66.0,64.0,63.714285714285715
2023-08-31,Product_1,62,4,3,8,65.0,62.0,63.714285714285715
2023-09-01,Product_1,57,3,4,9,62.0,72.0,61.57142857142857
2023-09-02,Product_1,51,4,5,9,57.0,68.0,59.142857142857146
2023-09-03,Product_1,70,2,6,9,51.0,57.0,61.0
2023-09-04,Product_1,57,5,0,9,70.0,56.0,61.142857142857146
2023-09-05,Product_1,60,2,1,9,57.0,66.0,60.285714285714285
2023-09-06,Product_1,64,2,2,9,60.0,65.0,60.142857142857146
2023-09-07,Product_1,68,3,3,9,64.0,62.0,61.0
2023-09-08,Product_1,62,3,4,9,68.0,57.0,61.714285714285715
2023-09-09,Product_1,59,2,5,9,62.0,51.0,62.857142857142854
2023-09-10,Product_1,64,2,6,9,59.0,70.0,62.0
2023-09-11,Product_1,65,2,0,9,64.0,57.0,63.142857142857146
2023-09-12,Product_1,54,5,1,9,65.0,60.0,62.285714285714285
2023-09-13,Product_1,54,2,2,9,54.0,64.0,60.857142857142854
2023-09-14,Product_1,58,4,3,9,54.0,68.0,59.42857142857143
2023-09-15,Product_1,68,4,4,9,58.0,62.0,60.285714285714285
2023-09-16,Product_1,62,4,5,9,68.0,59.0,60.714285714285715
2023-09-17,Product_1,68,3,6,9,62.0,64.0,61.285714285714285
2023-09-18,Product_1,59,5,0,9,68.0,65.0,60.42857142857143
2023-09-19,Product_1,61,3,1,9,59.0,54.0,61.42857142857143
2023-09-20,Product_1,62,2,2,9,61.0,54.0,62.57142857142857
2023-09-21,Product_1,57,4,3,9,62.0,58.0,62.42857142857143
2023-09-22,Product_1,63,4,4,9,57.0,68.0,61.714285714285715
2023-09-23,Product_1,61,5,5,9,63.0,62.0,61.57142857142857
2023-09-24,Product_1,64,3,6,9,61.0,68.0,61.0
2023-09-25,Product_1,59,2,0,9,64.0,59.0,61.0
2023-09-26,Product_1,61,4,1,9,59.0,61.0,61.0
2023-09-27,Product_1,65,5,2,9,61.0,62.0,61.42857142857143
2023-09-28,Product_1,61,5,3,9,65.0,57.0,62.0
2023-09-29,Product_1,57,2,4,9,61.0,63.0,61.142857142857146
2023-09-30,Product_1,72,3,5,9,57.0,61.0,62.714285714285715
2023-10-01,Product_1,63,4,6,10,72.0,64.0,62.57142857142857
2023-10-02,Product_1,71,3,0,10,63.0,59.0,64.28571428571429
2023-10-03,Product_1,57,4,1,10,71.0,61.0,63.714285714285715
2023-10-04,Product_1,60,5,2,10,57.0,65.0,63.0
2023-10-05,Product_1,65,2,3,10,60.0,61.0,63.57142857142857
2023-10-06,Product_1,56,3,4,10,65.0,57.0,63.42857142857143
2023-10-07,Product_1,58,5,5,10,56.0,72.0,61.42857142857143
2023-10-08,Product_1,66,5,6,10,58.0,63.0,61.857142857142854
2023-10-09,Product_1,52,2,0,10,66.0,71.0,59.142857142857146
2023-10-10,Product_1,62,2,1,10,52.0,57.0,59.857142857142854
2023-10-11,Product_1,70,2,2,10,62.0,60.0,61.285714285714285
2023-10-12,Product_1,64,2,3,10,70.0,65.0,61.142857142857146
2023-10-13,Product_1,66,2,4,10,64.0,56.0,62.57142857142857
2023-10-14,Product_1,54,5,5,10,66.0,58.0,62.0
2023-10-15,Product_1,70,3,6,10,54.0,66.0,62.57142857142857
2023-10-16,Product_1,60,2,0,10,70.0,52.0,63.714285714285715
2023-10-17,Product_1,59,3,1,10,60.0,62.0,63.285714285714285
2023-10-18,Product_1,52,3,2,10,59.0,70.0,60.714285714285715
2023-10-19,Product_1,68,4,3,10,52.0,64.0,61.285714285714285
2023-10-20,Product_1,62,3,4,10,68.0,66.0,60.714285714285715
2023-10-21,Product_1,62,2,5,10,62.0,54.0,61.857142857142854
2023-10-22,Product_1,53,5,6,10,62.0,70.0,59.42857142857143
2023-10-23,Product_1,58,4,0,10,53.0,60.0,59.142857142857146
2023-10-24,Product_1,63,4,1,10,58.0,59.0,59.714285714285715
2023-10-25,Product_1,63,2,2,10,63.0,52.0,61.285714285714285
2023-10-26,Product_1,61,2,3,10,63.0,68.0,60.285714285714285
2023-10-27,Product_1,62,2,4,10,61.0,62.0,60.285714285714285
2023-10-28,Product_1,60,3,5,10,62.0,62.0,60.0
2023-10-29,Product_1,54,2,6,10,60.0,53.0,60.142857142857146
2023-10-30,Product_1,62,3,0,10,54.0,58.0,60.714285714285715
2023-10-31,Product_1,64,2,1,10,62.0,63.0,60.857142857142854
2023-11-01,Product_1,67,5,2,11,64.0,63.0,61.42857142857143
2023-11-02,Product_1,70,4,3,11,67.0,61.0,62.714285714285715
2023-11-03,Product_1,64,3,4,11,70.0,62.0,63.0
2023-11-04,Product_1,58,3,5,11,64.0,60.0,62.714285714285715
2023-11-05,Product_1,63,5,6,11,58.0,54.0,64.0
2023-11-06,Product_1,70,2,0,11,63.0,62.0,65.14285714285714
2023-11-07,Product_1,73,3,1,11,70.0,64.0,66.42857142857143
2023-11-08,Product_1,71,4,2,11,73.0,67.0,67.0
2023-11-09,Product_1,58,4,3,11,71.0,70.0,65.28571428571429
2023-11-10,Product_1,61,4,4,11,58.0,64.0,64.85714285714286
2023-11-11,Product_1,66,3,5,11,61.0,58.0,66.0
2023-11-12,Product_1,70,4,6,11,66.0,63.0,67.0
2023-11-13,Product_1,61,5,0,11,70.0,70.0,65.71428571428571
2023-11-14,Product_1,62,3,1,11,61.0,73.0,64.14285714285714
2023-11-15,Product_1,69,3,2,11,62.0,71.0,63.857142857142854
2023-11-16,Product_1,55,4,3,11,69.0,58.0,63.42857142857143
2023-11-17,Product_1,68,5,4,11,55.0,61.0,64.42857142857143
2023-11-18,Product_1,63,2,5,11,68.0,66.0,64.0
2023-11-19,Product_1,71,5,6,11,63.0,70.0,64.14285714285714
2023-11-20,Product_1,64,3,0,11,71.0,61.0,64.57142857142857
2023-11-21,Product_1,69,2,1,11,64.0,62.0,65.57142857142857
2023-11-22,Product_1,66,2,2,11,69.0,69.0,65.14285714285714
2023-11-23,Product_1,56,5,3,11,66.0,55.0,65.28571428571429
2023-11-24,Product_1,64,2,4,11,56.0,68.0,64.71428571428571
2023-11-25,Product_1,65,2,5,11,64.0,63.0,65.0
2023-11-26,Product_1,67,3,6,11,65.0,71.0,64.42857142857143
2023-11-27,Product_1,58,4,0,11,67.0,64.0,63.57142857142857
2023-11-28,Product_1,68,4,1,11,58.0,69.0,63.42857142857143
2023-11-29,Product_1,60,5,2,11,68.0,66.0,62.57142857142857
2023-11-30,Product_1,68,2,3,11,60.0,56.0,64.28571428571429
2023-12-01,Product_1,65,2,4,12,68.0,64.0,64.42857142857143
2023-12-02,Product_1,70,5,5,12,65.0,65.0,65.14285714285714
2023-12-03,Product_1,64,4,6,12,70.0,67.0,64.71428571428571
2023-12-04,Product_1,64,2,0,12,64.0,58.0,65.57142857142857
2023-12-05,Product_1,64,2,1,12,64.0,68.0,65.0
2023-12-06,Product_1,62,3,2,12,64.0,60.0,65.28571428571429
2023-12-07,Product_1,59,3,3,12,62.0,68.0,64.0
2023-12-08,Product_1,66,2,4,12,59.0,65.0,64.14285714285714
2023-12-09,Product_1,77,2,5,12,66.0,70.0,65.14285714285714
2023-12-10,Product_1,67,3,6,12,77.0,64.0,65.57142857142857
2023-12-11,Product_1,70,4,0,12,67.0,64.0,66.42857142857143
2023-12-12,Product_1,73,5,1,12,70.0,64.0,67.71428571428571
2023-12-13,Product_1,67,2,2,12,73.0,62.0,68.42857142857143
2023-12-14,Product_1,67,5,3,12,67.0,59.0,69.57142857142857
2023-12-15,Product_1,64,4,4,12,67.0,66.0,69.28571428571429
2023-12-16,Product_1,71,4,5,12,64.0,77.0,68.42857142857143
2023-12-17,Product_1,67,3,6,12,71.0,67.0,68.42857142857143
2023-12-18,Product_1,57,5,0,12,67.0,70.0,66.57142857142857
2023-12-19,Product_1,65,2,1,12,57.0,73.0,65.42857142857143
2023-12-20,Product_1,58,3,2,12,65.0,67.0,64.14285714285714
2023-12-21,Product_1,72,3,3,12,58.0,67.0,64.85714285714286
2023-12-22,Product_1,71,4,4,12,72.0,64.0,65.85714285714286
2023-12-23,Product_1,64,3,5,12,71.0,71.0,64.85714285714286
2023-12-24,Product_1,70,3,6,12,64.0,67.0,65.28571428571429
2023-12-25,Product_1,61,2,0,12,70.0,57.0,65.85714285714286
2023-12-26,Product_1,71,4,1,12,61.0,65.0,66.71428571428571
2023-12-27,Product_1,69,2,2,12,71.0,58.0,68.28571428571429
2023-12-28,Product_1,70,2,3,12,69.0,72.0,68.0
2023-12-29,Product_1,67,5,4,12,70.0,71.0,67.42857142857143
2023-12-30,Product_1,65,2,5,12,67.0,64.0,67.57142857142857
2023-12-31,Product_1,72,5,6,12,65.0,70.0,67.85714285714286
2023-01-08,Product_2,31,4,6,1,35.0,33.0,31.571428571428573
2023-01-09,Product_2,34,5,0,1,31.0,27.0,32.57142857142857
2023-01-10,Product_2,20,2,1,1,34.0,40.0,29.714285714285715
2023-01-11,Product_2,30,2,2,1,20.0,31.0,29.571428571428573
2023-01-12,Product_2,30,3,3,1,30.0,38.0,28.428571428571427
2023-01-13,Product_2,19,4,4,1,30.0,19.0,28.428571428571427
2023-01-14,Product_2,32,4,5,1,19.0,35.0,28.0
2023-01-15,Product_2,36,5,6,1,32.0,31.0,28.714285714285715
2023-01-16,Product_2,40,3,0,1,36.0,34.0,29.571428571428573
2023-01-17,Product_2,31,2,1,1,40.0,20.0,31.142857142857142
2023-01-18,Product_2,33,3,2,1,31.0,30.0,31.571428571428573
2023-01-19,Product_2,41,4,3,1,33.0,30.0,33.142857142857146
2023-01-20,Product_2,30,3,4,1,41.0,19.0,34.714285714285715
2023-01-21,Product_2,35,3,5,1,30.0,32.0,35.142857142857146
2023-01-22,Product_2,28,5,6,1,35.0,36.0,34.0
2023-01-23,Product_2,36,2,0,1,28.0,40.0,33.42857142857143
2023-01-24,Product_2,42,3,1,1,36.0,31.0,35.0
2023-01-25,Product_2,34,5,2,1,42.0,33.0,35.142857142857146
2023-01-26,Product_2,33,4,3,1,34.0,41.0,34.0
2023-01-27,Product_2,29,5,4,1,33.0,30.0,33.857142857142854
2023-01-28,Product_2,38,3,5,1,29.0,35.0,34.285714285714285
2023-01-29,Product_2,25,3,6,1,38.0,28.0,33.857142857142854
2023-01-30,Product_2,44,3,0,1,25.0,36.0,35.0
2023-01-31,Product_2,24,5,1,1,44.0,42.0,32.42857142857143
2023-02-01,Product_2,37,5,2,2,24.0,34.0,32.857142857142854
2023-02-02,Product_2,29,2,3,2,37.0,33.0,32.285714285714285
2023-02-03,Product_2,34,3,4,2,29.0,29.0,33.0
2023-02-04,Product_2,29,4,5,2,34.0,38.0,31.714285714285715
2023-02-05,Product_2,33,2,6,2,29.0,25.0,32.857142857142854
2023-02-06,Product_2,35,3,0,2,33.0,44.0,31.571428571428573
2023-02-07,Product_2,32,2,1,2,35.0,24.0,32.714285714285715
2023-02-08,Product_2,42,5,2,2,32.0,37.0,33.42857142857143
2023-02-09,Product_2,38,5,3,2,42.0,29.0,34.714285714285715
